,Title,Author,Published date,Format,Sale Price,Old Price,Category
7597,House of Earth and Blood,Sarah Maas,03 Mar 2020,Hardback,29.35,31.5,Childrens-Books
7598,The Stolen Heir,Holly Black,03 Jan 2023,Hardback,19.99,21.0,Childrens-Books
7599,The Cruel Prince (The Folk of the Air),Holly Black,26 Jul 2018,Paperback,12.83,12.83,Childrens-Books
7600,Dead Poets Society,N.H. Kleinbaum,07 Dec 2006,Paperback,10.01,11.5,Childrens-Books
7601,Harry Potter and the Goblet of Fire,J. K. Rowling,01 Sep 2014,Paperback,10.85,11.5,Childrens-Books
7602,Harry Potter and the Philosopher's Stone,J. K. Rowling,01 Sep 2014,Paperback,9.45,10.5,Childrens-Books
7603,The Agency for Scandal,Laura Wood,05 Jan 2023,Paperback,11.5,11.5,Childrens-Books
7604,The Tiger Who Came to Tea,Judith Kerr,06 Feb 2006,Paperback,9.85,10.0,Childrens-Books
7605,Girl in Pieces,Kathleen Glasgow,06 Oct 2016,Paperback,9.84,11.5,Childrens-Books
7606,Queer Chameleon and Friends,Amee Wilson,14 Feb 2023,Hardback,16.0,16.0,Childrens-Books
7607,Giraffes Can't Dance,Giles Andreae,01 May 2014,Paperback,7.98,9.0,Childrens-Books
